Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2014-01-27,34.5140266418457,53.67168426513672,13.693437576293945,40.24750518798828,30.025691986083984,30.284496307373047,25.96949577331543,45.62139892578125,55.32484817504883
2014-01-28,34.71152877807617,54.08047866821289,13.876195907592773,40.62688446044922,29.844511032104492,30.519092559814453,26.064998626708984,46.23286437988281,55.70969772338867
2014-01-29,34.85372543334961,53.780269622802734,13.713022232055664,40.19099044799805,29.61155128479004,29.983932495117188,26.051355361938477,45.81142807006836,54.8175048828125
2014-01-30,35.01962661743164,53.95273208618164,13.90882682800293,40.58652877807617,29.973936080932617,30.02791976928711,26.453813552856445,46.646034240722656,55.735958099365234
2014-01-31,34.790523529052734,53.25651168823242,13.745649337768555,40.384727478027344,30.04294776916504,29.881298065185547,26.67211151123047,46.24113845825195,54.94871139526367
2014-02-03,33.97686004638672,52.304832458496094,13.39972972869873,39.2626953125,29.413110733032227,29.236169815063477,26.46064567565918,45.33216094970703,53.505455017089844
2014-02-04,34.27704620361328,52.84136962890625,13.530266761779785,39.512935638427734,29.525272369384766,29.390100479125977,26.303756713867188,45.77837371826172,54.161476135253906
2014-02-05,34.316532135009766,52.323978424072266,13.517212867736816,39.496788024902344,29.5511531829834,29.412111282348633,26.187776565551758,45.522220611572266,54.23146438598633
2014-02-06,34.830020904541016,53.10322189331055,13.726076126098633,40.045684814453125,29.8790225982666,29.727340698242188,26.3787841796875,45.77837371826172,55.37733840942383
2014-02-07,35.311912536621094,53.67808151245117,13.895772933959961,40.73990249633789,30.2845458984375,30.00592041015625,26.522037506103516,46.56340026855469,56.05959701538086
2014-02-10,35.485694885253906,53.416194915771484,13.90882682800293,40.48158645629883,30.344938278198242,30.123212814331055,26.7198486328125,46.95177459716797,56.02461624145508
2014-02-11,35.89649200439453,54.11240005493164,14.05241870880127,40.933616638183594,30.71595001220703,30.475112915039062,26.972257614135742,47.58805465698242,56.435707092285156
2014-02-12,35.833290100097656,53.98466110229492,14.05241870880127,41.1677131652832,30.83673858642578,30.34314727783203,27.006362915039062,47.58805465698242,56.488197326660156
2014-02-13,36.14138412475586,54.24013137817383,14.104631423950195,41.200008392333984,31.06107521057129,30.497093200683594,27.299680709838867,47.92682647705078,56.66312026977539
2014-02-14,36.433685302734375,54.94912338256836,14.124214172363281,41.46638870239258,31.12147331237793,30.673038482666016,27.477041244506836,48.1003532409668,57.004268646240234
2014-02-18,36.45737838745117,55.198219299316406,14.150321960449219,41.43408966064453,31.138717651367188,30.497093200683594,27.572540283203125,48.546573638916016,57.07423400878906
2014-02-19,36.204593658447266,55.268455505371094,13.954516410827637,41.046634674072266,31.035192489624023,30.431121826171875,27.41565704345703,48.24909973144531,56.61064147949219
2014-02-20,36.58375930786133,55.63256072998047,13.993677139282227,41.43408966064453,31.138717651367188,30.563091278076172,27.62712287902832,48.687042236328125,56.91679382324219
2014-02-21,36.48896408081055,55.191837310791016,14.019787788391113,41.4825325012207,31.01793670654297,30.497093200683594,27.661237716674805,48.59616470336914,57.030513763427734
2014-02-24,36.362586975097656,56.022186279296875,14.124214172363281,41.79733657836914,31.138717651367188,30.60706901550293,27.593017578125,48.95973205566406,57.26667022705078
